구,동,월세(만원),관리비(만원),소득,주거 부담 비율,거주 적합도 점수
강남구,개포1동,133.1026018226924,0.1374466326530612,5181026.454545454,0.2595454545454545,49.98409090909092
강남구,개포2동,133.1026018226924,0.1374466326530612,5154387.681818182,0.26136363636363635,49.4859090909091
강남구,개포4동,133.1026018226924,0.1374466326530612,3572614.909090909,0.3772727272727273,28.919545454545457
강남구,논현1동,133.1026018226924,0.1374466326530612,3308735.5,0.4059090909090909,25.559545454545454
강남구,논현2동,133.1026018226924,0.1374466326530612,3999444.0454545454,0.33727272727272734,34.45545454545455
강남구,대치1동,133.1026018226924,0.1374466326530612,7458493.0,0.17863636363636362,79.62318181818182
강남구,대치2동,133.1026018226924,0.1374466326530612,6029819.909090909,0.22,61.12681818181818
강남구,대치4동,133.1026018226924,0.1374466326530612,4128888.1363636362,0.3186363636363636,36.570454545454545
강남구,도곡1동,133.1026018226924,0.1374466326530612,5441494.2727272725,0.24863636363636363,53.141818181818174
강남구,도곡2동,133.1026018226924,0.1374466326530612,6591644.318181818,0.2,68.5409090909091
강남구,삼성1동,133.1026018226924,0.1374466326530612,5136961.954545454,0.25863636363636366,49.49909090909091
강남구,삼성2동,133.1026018226924,0.1374466326530612,5089057.2272727275,0.25863636363636366,49.03999999999999
강남구,세곡동,133.1026018226924,0.1374466326530612,3906955.9545454546,0.3386363636363636,33.586363636363636
강남구,수서동,133.1026018226924,0.1374466326530612,3854253.772727273,0.34863636363636363,32.628181818181815
강남구,신사동,133.1026018226924,0.1374466326530612,3794611.0454545454,0.4015909090909091,32.01204545454545
강남구,압구정동,133.1026018226924,0.1374466326530612,5861134.2272727275,0.22863636363636364,58.76681818181819
강남구,역삼1동,133.1026018226924,0.1374466326530612,3626366.1363636362,0.3686363636363636,29.762272727272727
강남구,역삼2동,133.1026018226924,0.1374466326530612,5408048.7727272725,0.24863636363636363,52.81636363636364
강남구,일원1동,133.1026018226924,0.1374466326530612,3032195.6818181816,0.43863636363636366,22.12272727272727
강남구,일원2동,133.1026018226924,0.1374466326530612,4542795.454545454,0.2913636363636363,41.84409090909091
강남구,일원본동,133.1026018226924,0.1374466326530612,5462703.954545454,0.23999999999999996,53.95590909090909
강남구,청담동,133.1026018226924,0.1374466326530612,5056930.909090909,0.26727272727272733,48.17272727272727
강동구,강일동,68.39304242079464,0.1054087333333333,3087006.909090909,0.22,31.29909090909091
강동구,고덕1동,68.39304242079464,0.1054087333333333,4628206.7727272725,0.15,51.126363636363635
강동구,고덕2동,68.39304242079464,0.1054087333333333,2469030.409090909,0.2786363636363637,23.147727272727273
강동구,길동,68.39304242079464,0.1054087333333333,2865343.590909091,0.23863636363636365,28.35727272727273
강동구,둔촌1동,68.39304242079464,0.1054087333333333,3596314.272727273,0.18999999999999997,37.86454545454546
강동구,둔촌2동,68.39304242079464,0.1054087333333333,3440191.0,0.19863636363636364,35.83272727272727
강동구,명일1동,68.39304242079464,0.1054087333333333,3576266.409090909,0.18863636363636366,37.71727272727273
강동구,명일2동,68.39304242079464,0.1054087333333333,4539933.181818182,0.15,50.15363636363636
강동구,상일동,68.39304242079464,0.1054087333333333,3676535.8181818184,0.18999999999999997,38.70545454545454
강동구,성내1동,68.39304242079464,0.1054087333333333,3461248.1363636362,0.19863636363636364,36.05136363636364
강동구,성내2동,68.39304242079464,0.1054087333333333,2833715.6818181816,0.23999999999999996,27.99
강동구,성내3동,68.39304242079464,0.1054087333333333,2918318.3181818184,0.23727272727272727,28.935000000000002
강동구,암사1동,68.39304242079464,0.1054087333333333,2866945.5,0.23863636363636365,28.36909090909091
강동구,암사2동,68.39304242079464,0.1054087333333333,3712569.3636363638,0.18863636363636366,39.15181818181818
강동구,암사3동,68.39304242079464,0.1054087333333333,4490581.681818182,0.15,49.608181818181826
강동구,천호1동,68.39304242079464,0.1054087333333333,2490192.8636363638,0.2772727272727273,23.392272727272726
강동구,천호2동,68.39304242079464,0.1054087333333333,2758453.1363636362,0.24863636363636363,26.935000000000002
강동구,천호3동,68.39304242079464,0.1054087333333333,3173368.409090909,0.21863636363636363,32.229090909090914
강북구,미아동,46.764752180875014,0.1059125333333333,2333432.272727273,0.19863636363636364,24.305000000000003
강북구,번1동,46.764752180875014,0.1059125333333333,2316799.590909091,0.2,24.092272727272725
강북구,번2동,46.764752180875014,0.1059125333333333,2316458.8636363638,0.2,24.08318181818182
강북구,번3동,46.764752180875014,0.1059125333333333,2566133.0454545454,0.17863636363636362,27.39727272727273
강북구,삼각산동,46.764752180875014,0.1059125333333333,3758142.090909091,0.12863636363636363,42.56681818181818
강북구,삼양동,46.764752180875014,0.1059125333333333,2480810.272727273,0.18999999999999997,26.11909090909091
강북구,송중동,46.764752180875014,0.1059125333333333,2568932.272727273,0.18,27.383181818181814
강북구,송천동,46.764752180875014,0.1059125333333333,2454922.9545454546,0.18999999999999997,25.849090909090908
강북구,수유1동,46.764752180875014,0.1059125333333333,2228360.5,0.21,22.880454545454544
강북구,수유2동,46.764752180875014,0.1059125333333333,2592461.6818181816,0.17863636363636362,27.672727272727276
강북구,수유3동,46.764752180875014,0.1059125333333333,2219697.6818181816,0.20863636363636362,22.831363636363633
강북구,우이동,46.764752180875014,0.1059125333333333,2470149.272727273,0.18863636363636366,26.051363636363636
강북구,인수동,46.764752180875014,0.1059125333333333,2369557.409090909,0.19863636363636364,24.681818181818183
강서구,가양1동,58.04482097254076,0.10008071666666661,3606216.0,0.15863636363636366,39.44
강서구,가양2동,58.04482097254076,0.10008071666666661,3086537.909090909,0.18863636363636366,32.550909090909094
